"","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count"
"1","Wii",2006,"Sports",41.36,28.96,3.77,8.45,82.53,76,51,8,322
"2","NES",1985,"Platform",29.08,3.58,6.81,0.77,40.24,NA,NA,NA,NA
"3","Wii",2008,"Racing",15.68,12.76,3.79,3.29,35.52,82,73,8,709
"4","Wii",2009,"Sports",15.61,10.93,3.28,2.95,32.77,80,73,8,192
"5","GB",1996,"Role-Playing",11.27,8.89,10.22,1,31.37,NA,NA,NA,NA
"6","GB",1989,"Puzzle",23.2,2.26,4.22,0.58,30.26,NA,NA,NA,NA
"7","DS",2006,"Platform",11.28,9.14,6.5,2.88,29.8,89,65,8,431
"8","Wii",2006,"Misc",13.96,9.18,2.93,2.84,28.92,58,41,6,129
"9","Wii",2009,"Platform",14.44,6.94,4.7,2.24,28.32,87,80,8,594
"10","NES",1984,"Shooter",26.93,0.63,0.28,0.47,28.31,NA,NA,NA,NA
"11","DS",2005,"Simulation",9.05,10.95,1.93,2.74,24.67,NA,NA,NA,NA
"12","DS",2005,"Racing",9.71,7.47,4.13,1.9,23.21,91,64,8,464
"13","GB",1999,"Role-Playing",9,6.18,7.2,0.71,23.1,NA,NA,NA,NA
"14","Wii",2007,"Sports",8.92,8.03,3.6,2.15,22.7,80,63,7,146
"15","X360",2010,"Misc",15,4.89,0.24,1.69,21.81,61,45,6,106
"16","Wii",2009,"Sports",9.01,8.49,2.53,1.77,21.79,80,33,7,52
"17","PS3",2013,"Action",7.02,9.09,0.98,3.96,21.04,97,50,8,3994
"18","PS2",2004,"Action",9.43,0.4,0.41,10.57,20.81,95,80,9,1588
"19","SNES",1990,"Platform",12.78,3.75,3.54,0.55,20.61,NA,NA,NA,NA
"20","DS",2005,"Misc",4.74,9.2,4.16,2.04,20.15,77,58,7,50
"21","DS",2006,"Role-Playing",6.38,4.46,6.04,1.36,18.25,NA,NA,NA,NA
"22","GB",1989,"Platform",10.83,2.71,4.18,0.42,18.14,NA,NA,NA,NA
"23","NES",1988,"Platform",9.54,3.44,3.84,0.46,17.28,NA,NA,NA,NA
"24","X360",2013,"Action",9.66,5.14,0.06,1.41,16.27,97,58,8,3711
"25","PS2",2002,"Action",8.41,5.49,0.47,1.78,16.15,95,62,8,730
"26","GBA",2002,"Role-Playing",6.06,3.9,5.38,0.5,15.85,NA,NA,NA,NA
"27","DS",2005,"Puzzle",3.43,5.35,5.32,1.18,15.29,77,37,7,19
"28","DS",2010,"Role-Playing",5.51,3.17,5.65,0.8,15.14,NA,NA,NA,NA
"29","PS2",2001,"Racing",6.85,5.09,1.87,1.16,14.98,95,54,8,314
"30","X360",2011,"Shooter",9.04,4.24,0.13,1.32,14.73,88,81,3,8713
"31","GB",1998,"Role-Playing",5.89,5.04,3.12,0.59,14.64,NA,NA,NA,NA
"32","PS4",2015,"Shooter",6.03,5.86,0.36,2.38,14.63,NA,NA,NA,NA
"33","X360",2010,"Shooter",9.7,3.68,0.11,1.13,14.61,87,89,6,1454
"34","3DS",2013,"Role-Playing",5.28,4.19,4.35,0.78,14.6,NA,NA,NA,NA
"35","PS3",2012,"Shooter",4.99,5.73,0.65,2.42,13.79,83,21,5,922
"36","X360",2012,"Shooter",8.25,4.24,0.07,1.12,13.67,83,73,4,2256
"37","X360",2009,"Shooter",8.52,3.59,0.08,1.28,13.47,94,100,6,2698
"38","PS3",2011,"Shooter",5.54,5.73,0.49,1.57,13.32,88,39,3,5234
